review,sentiment
"je bil samo Čas. In kadar ni vedel, kaj početi, je lovil svoj rep. $ odgriznil. »Tpfej!« je Čas izpljunil rep iz gobca. »Živijo! « je rekel rep. Čas $ zabavaj!« je ukazal Čas. »To pa lahko,« je rekel rep. Začel je lesti vase",0
"mi je ime Leto,« je slovesno izjavil. »Spoštovani Čas, vabim vas, da si ogledate $ ogledate moje dneve.« Leto se je spretno zvilo v kolut In zavrtelo dneve kot $ začel nevljudno zehati. Leto se je ustavilo: »Kaj pa je? « »To ni več",1
"pa bi vzela ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, de druga in $ spremeni v ježka. Jež pa nima mesta pri hiši. Zato je tudi ježek-Janček odšel $ mesiti. -Beži no, ježek! Pravi mati nejevolna. V tistem času pa so se godili $ mati reče sinu ježek, že se deček spremeni v ježka. Jež pa nima mesta $ deček spremeni v ježka. Jež pa nima mesta pri hiši. Zato je tudi ježek-Janček $ Zato je tudi ježek-Janček odšel v gozd, tam si je pod votlo hruško izkopal $ počiva pod hruško, ježek-Janček pa si prične lepo žvižgati. - Kaj pa ti, ježek? $ Kaj pa ti, ježek? ga vpraša grof. Zakaj si tako vesel? - Lahko sem $ vesel, mu odgovori ježek-Janček, ker dobro vem, da vi brez moje pomoči ne boste $ iz velikega gozda. Ježek mu pokaže pot prav do doma. Drugi dan Janček-ježek že $ doma. Drugi dan Janček-ježek že navsezgodaj pred grofov grad. Prišel je na ogledi. - $ Dobro jutro! kriči Janček-ježek pred gradom. Po plačilo sem prišel. Dajte mi eno izmed $ napravijo, če pride ježek. Zato hitro zapro grajska vrata, odpro okna in opazujejo, kaj $ sedaj počel revček ježek. Na grajskem dvorišču se je sprehajal velik petelin. Ježek-Janček to $ in zleti z ježkom vred na okno, pri katerem so stale grofove hčerke. - $ se oglasi zdaj ježek na oknu s korajžnim glasom. Sedaj pa se le hitro $ voz, vzame ženina Jančka-ježka na krilo in tako se odpeljejo k poroki. Komaj pa $ pred oltar se ježek-Janček strese in pri priči spremeni v prekrasnega mladeniča. Sestri to $ sprehajal velik petelin. Ježek-Janček to vidi in mu skoči –smuk- na hrbet. Petelin se",1
" Mati mesi kruh. Mali Janček vedno sili k njej, ker hoče $ no, ježek! Pravi mati nejevolna. V tistem času pa so se godili čudeži bolj $ tej priliki. Komaj mati reče sinu ježek, že se deček spremeni v ježka. Jež",1
"da gre nekoč grof na lov in zablodi v gozdu. Dolgo išče poti, a $ pod ježevo hruško. Grof počiva pod hruško, ježek-Janček pa si prične lepo žvižgati. - $ ježek? ga vpraša grof. Zakaj si tako vesel? - Lahko sem vesel, mu odgovori",0
"ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, de druga in se smeje. - Jaz $ ga meni, pravi najstarejša najmlajši sestrici nevesti. - Jaz ga vzamem. Saj ti si",0
"Kralja čakam, de druga in se smeje. - Jaz pa te vzamem za moža $ še otrok, pristavi druga. Janček pa vesel objame svojo nevestico in pravi: - Ti",0
"mojega očeta, pravi najmlajša. Grof zapreže v najlepši voz iskre konje, hčerka nevesta sede",1
"njo in eno mačko; samo lino so ji odprto pustili, da je sonce sijalo $ nogo vzdigne, skoči mačka na lino in začne tako jezno renčati in brusiti kremplje, $ pusti, ker ima mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci $ pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala, odreži ji rep, $ svetu: dala je mački mesa, ji v hipu odrezala rep, ga vrgla devet komolcev $ zidu, vidi kosorepo mačko počasi in klavrno lesti po vrhu slemena na drugi konec $ strehe, in videč mačko po drevesu priti do tal, pleza še ona in srečno $ zagledajo kosorepo krvavo mačko. Brž uganejo, kaj je to, in dvanajst jih poišče sled",0
"kdaj prišla k očetu domov. Večkrat je mislila skozi odprto lino zlesti na streho $ nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla, ali ne $ že blizu do očetovega doma. Oče njen je imel kovačnico, pri vodi zidano. Tisto $ ter klicala, pa očeta ni bilo in že je mislila pred kovačnico na klopi $ jo je bil oče ravno prejšnji dan nasadil, in pristopi k luknji, skozi katero $ je drugo jutro oče kovač prišel žalosten domov, je našel hčer in na klopi",1
"so bili še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama $ in le včasih pasjeglavce, ki so na noč zahajali domov, podnevi pa zaklenili njo $ so vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala, $ je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj $ bi me zasledili pasjeglavci in še huje bi mi bilo. Zato premišlja, kako bi $ zasliši zunaj govoriti pasjeglavce. Po sledu so bili za njo prišli. Brž podpre vrata $ prišla. Kmalu izvohajo pasjeglavci to luknjo in eden prikaže pasjo glavo v kovačnico. Deklica $ v kovačnici dvanajst pasjeglavcev, ki jih je hči pobila.",0
"neki dan lepa deklica sama na njivi. Kar zagleda, da jih gre veliko krdelo $ smreki čepi skrita deklica. Bodli so torej s svojimi dolgimi sulicami ob deblih od $ tako jim je deklica prišla v pest. Zaprli so jo potlej v visok grad, $ da je bilo deklico strah. Nekoč posebno močno joka in boga prosi. Kar zagleda $ šla rada, pravi deklica. Kako boš šla, ali ne veš, da pasjeglavski grad nima $ in izginil, da deklica ni vedela ne kdaj ne kam. Storila je po njegovem $ teče za ubežno deklico. Medtem je bila ona pritekla že blizu do očetovega doma.",1
"mlada? jo nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla, $ nima vrat? reče dedec. Vem, ali jaz bi šla skozi lino, pa me ta",1
"Malemu Jožku se je sanjalo, da vidi lastavico. »Pojdi sem,« ji je $ muho,« je silil Joško. »Jih znam sama bolje loviti, kakor ti,« je odgovarjala lastavica. $ se je branil Joško. »Kdo je bil pa včeraj našeškan, kdo?« se je smejala $ je smejala lastavica. Joško je napravil majhno šobo, zameril je. Toda še se je $ je bilo pa Jošku preveč Namršil je obrvi, jezno pogledal lastavico ter ji zabrusil: $ večje ... Toda Joško je kmalu videl samo še odprti kljun, ne kljun, žrelo, $ — — — Joško se je prebudil, ves trd od strahu. Ravno še pravi",1
"grem,« je rekla lastavica. »Ti bom vjel muho,« je silil Joško. »Jih znam sama $ ti,« je odgovarjala lastavica. »Pojdi!« »Ne grem.« »Zakaj pa ne?« »Zato ker si poreden.« $ se je smejala lastavica. Joško je napravil majhno šobo, zameril je. Toda še se $ je spet smejala lastavica. Zdaj je bilo pa Jošku preveč Namršil je obrvi, jezno",0
je ni usmilila vila z Menine planine. Prišla je k ženi in ji rekla:,1
" Gorjanci pripovedujejo, da je pod Menino planino podzemeljska jama, ki se",1
"samoti živela uboga bajtarica, ki ni imela drugega kakor dete. In ker se je $ je odprla, uboga bajtarica pa je ostrmela in skoraj oslepela od bleščave zlata in $ Vila je izginila, bajtarica pa je odšla domov in dan in noč jokala za",0
"v naročje svojega otroka ter odšla iskat srečo. V grmu ob Dreti je odlomila $ v jamo, odložila otroka na skalo ter pričela v predpasnik grabiti zlato in srebro, $ spomnila, da je otroka pozabila v jami. Zajokala je in pričela z vrbovo vejico $ boš našla svojega otroka, a samo tedaj, če boš vrnila vse zlato in srebro, $ jokala za izgubljenim otrokom. Toliko solz je potočila v dolgem letu, da bi z",1
"zagledal tam daleč medveda. Od strahu se je ustavil in se je skril za $ prav! je dejal medved in je šel proti tisti buli. Ko je prišel tja $ začel streljati. Ubogega medveda je zabolelo po vsem životu! - Nehaj, nehaj, je začel $ je začel vpiti medved, če so tvoje besede tako močne, da se mi zadirajo $ je mož premagal medveda. ",0
"Nekoč je neki lovec hodil po gozdu in zagledal tam daleč medveda. Od strahu $ začeti s kreganjem! Lovec je vzel svojo puško in začel streljati. Ubogega medveda je $ Medved, ki je moža opazil, se je približal in mu dejal: - Vsi tu $ vzroka? je rekel mož. Prej se morava lepo skregati, potem se bova pa magala. $ daleč, je dejal mož, bolj tja, do tiste bule. Ko boš tam, se začneva $ ti! Tako je mož premagal medveda.",1
"ne imel svetega ptiča, kateri ima zlato perje. Pa kje bi bil ta ptič, $ bi bil ta ptič, tega ni znal nihče v tistem kraju. Poslal je torej $ bi našel svetega ptiča, imel bi vedno svež venec, ostalih dveh bila bi pa $ mu je: «Tisti ptič je na Turškem, v podrti cerkvi. Ko prideš v cerkev $ je letal zlati ptič od oltarja do oltarja, ter lepše pel ko najmilejša godba. $ ko najmilejša godba. Ptič mu zleti na ramo, mladenič pa ga hitro prime in $ grozno vest. Zlati ptič ni nič več prepeval in je klavrno letal v novi $ zapel je sveti ptič prvič odkar so ga bili spustili v cerkev, ter pel $ slišal peti zlatega ptiča. Drugo nedeljo zgodi se ravno tako. Tretjo nedeljo postavil je $ za koga voljo ptič vender zapoje. Tudi takrat prišel je grofič. Najnazadnje ptič je $ je grofič. Najnazadnje ptič je zapel, stražar pa si dobro zapomni, kje je mladenič $ ob enem zlati ptič. Stražar stopi za njim, prime ga za ramo pa mu $ vedeti zakaj zlati ptič ravno za tebe voljo poje.» Grof na mah spozna svojega",1
"krčmi sestaneta se starejša brata zopet. Tam pijeta tako dolgo, da zapravita ves denar. Bila",0
"bil je venec najmlajšega brata še lep cveteč, njijina sta se pa popolnoma posušila. Vozna",1
"je živela stara ženica, katera ga pouči kod ima iti. Rekla mu je: «Tisti",1
"so bivale tri princesinje, katere so grofiču povedale da jih je rešil zakletbe. Vzel $ sin z lepo princesinjo, starejša pa sta pretrpela grozno smrt katero sta želela drugim:",1
"stopi pri nekem čevljarji za pomagača. V nedeljo ga vpraša čevljar če pojde k $ nedeljo ga vpraša čevljar če pojde k maši. Grofič se izgovarja, da nima obleke",1
"ptič je zapel, stražar pa si dobro zapomni, kje je mladenič pokleknil. Ko je",1
"Zvečer zbere grof sodnike, ter je vprašal, kako bi kaznovali tistega, kateri bi svojega $ smrtni nevarnosti. Vsak sodnik je izrekel grozno obsodbo, najgroznejo izrekla sta pa grofova sinova",0
