review,sentiment
"izpod mize bela kača z lepo krono na glavi ter se zvila najmlajšemu v $ Ko se je kača najedla, je stresla lepo kronico z glave in se spet $ Brž, ko je kača izginila, je mati skočila v vežo in spravila otroke na $ je z belo kačo prijazno in lepo ravnal.",1
"je imela majhne otroke. Hodila je na polje delat, otroke pa je puščala doma $ na polje delat, otroke pa je puščala doma ter jim v skledo dajala mleka, $ dn so pridni. Otroci pa so rekli: - Saj ne jemo sami, k nam $ čudno zdelo, da otroci pripovedujejo o lepem belem ptičku. Hotela se je prepričati, kaj",1
"so imeli prejo. Ded je pozimi prejo vil. Vso zimo je vil, pa je",1
"zato jih je mati hvalila, dn so pridni. Otroci pa so rekli: - Saj $ lep ptiček jest. Mati si je mislila, da prihaja kakšna mačka in je z $ najmlajšemu v naročje. Mati je bila vsa trda od strahu. Otroci pa so božali $ kača izginila, je mati skočila v vežo in spravila otroke na varno; seveda ni",1
"z zvijačo premagati zmaja, bo dobil ta stolp in še bogato plačilo zraven. Vsa $ kraj, kjer gospoduje zmaj, bo zmagovalčeva last, če je suženj pa bo osvobojen. Marsikdo $ v bližini zaslišal zmajev glas. Vendar so morali poskusiti še nekaj. Zvijača včasih nadomesti $ šli so nad zmaja. Vzamejo silnega bika in močan, nazaj zakrivljen kavelj in oboje $ Zdaj zgrabi ujeti zmaj ubogo žival z ostrimi kremplji, toda dobil je, kar je",0
"prepevaje je gnal pastir svojo čredo na pašo, toda mnogokrat se je moral žalostnega $ zadovoljnih in brezskrbnih pastirjev se je razlegalo po prijaznih gričih in zelenih gozdičih, toda",1
bilo težko vprašanje. Poglavar je najpogumnejšemu izmed svojih hlapcev zapovedal preiskati tisti kraj in $ na nevaren lov. Poglavar je namreč rekel: Kdor si upa bodisi z močjo bodisi,1
"njo in eno mačko; samo lino so ji odprto pustili, da je sonce sijalo $ nogo vzdigne, skoči mačka na lino in začne tako jezno renčati in brusiti kremplje, $ pusti, ker ima mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci $ pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala, odreži ji rep, $ svetu: dala je mački mesa, ji v hipu odrezala rep, ga vrgla devet komolcev $ zidu, vidi kosorepo mačko počasi in klavrno lesti po vrhu slemena na drugi konec $ strehe, in videč mačko po drevesu priti do tal, pleza še ona in srečno $ zagledajo kosorepo krvavo mačko. Brž uganejo, kaj je to, in dvanajst jih poišče sled",0
"kdaj prišla k očetu domov. Večkrat je mislila skozi odprto lino zlesti na streho $ nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla, ali ne $ že blizu do očetovega doma. Oče njen je imel kovačnico, pri vodi zidano. Tisto $ ter klicala, pa očeta ni bilo in že je mislila pred kovačnico na klopi $ jo je bil oče ravno prejšnji dan nasadil, in pristopi k luknji, skozi katero $ je drugo jutro oče kovač prišel žalosten domov, je našel hčer in na klopi",1
"so bili še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama $ in le včasih pasjeglavce, ki so na noč zahajali domov, podnevi pa zaklenili njo $ so vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala, $ je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj $ bi me zasledili pasjeglavci in še huje bi mi bilo. Zato premišlja, kako bi $ zasliši zunaj govoriti pasjeglavce. Po sledu so bili za njo prišli. Brž podpre vrata $ prišla. Kmalu izvohajo pasjeglavci to luknjo in eden prikaže pasjo glavo v kovačnico. Deklica $ v kovačnici dvanajst pasjeglavcev, ki jih je hči pobila.",0
