review,sentiment
izpod mize bela kača z lepo krono na glavi ter se zvila najmlajšemu v,1
"Ko se je kača najedla, je stresla lepo kronico z glave in se spet",1
"Brž, ko je kača izginila, je mati skočila v vežo in spravila otroke na",1
je z belo kačo prijazno in lepo ravnal.,1
"je imela majhne otroke. Hodila je na polje delat, otroke pa je puščala doma",1
"na polje delat, otroke pa je puščala doma ter jim v skledo dajala mleka,",1
"dn so pridni. Otroci pa so rekli: - Saj ne jemo sami, k nam",1
"čudno zdelo, da otroci pripovedujejo o lepem belem ptičku. Hotela se je prepričati, kaj",1
"so imeli prejo. Ded je pozimi prejo vil. Vso zimo je vil, pa je",1
"zato jih je mati hvalila, dn so pridni. Otroci pa so rekli: - Saj",1
"lep ptiček jest. Mati si je mislila, da prihaja kakšna mačka in je z",1
najmlajšemu v naročje. Mati je bila vsa trda od strahu. Otroci pa so božali,1
"kača izginila, je mati skočila v vežo in spravila otroke na varno; seveda ni",1
"z zvijačo premagati zmaja, bo dobil ta stolp in še bogato plačilo zraven. Vsa",0
"kraj, kjer gospoduje zmaj, bo zmagovalčeva last, če je suženj pa bo osvobojen. Marsikdo",0
v bližini zaslišal zmajev glas. Vendar so morali poskusiti še nekaj. Zvijača včasih nadomesti,0
"šli so nad zmaja. Vzamejo silnega bika in močan, nazaj zakrivljen kavelj in oboje",0
"Zdaj zgrabi ujeti zmaj ubogo žival z ostrimi kremplji, toda dobil je, kar je",0
"prepevaje je gnal pastir svojo čredo na pašo, toda mnogokrat se je moral žalostnega",1
"zadovoljnih in brezskrbnih pastirjev se je razlegalo po prijaznih gričih in zelenih gozdičih, toda",1
bilo težko vprašanje. Poglavar je najpogumnejšemu izmed svojih hlapcev zapovedal preiskati tisti kraj in,1
na nevaren lov. Poglavar je namreč rekel: Kdor si upa bodisi z močjo bodisi,1
"njo in eno mačko; samo lino so ji odprto pustili, da je sonce sijalo",0
"nogo vzdigne, skoči mačka na lino in začne tako jezno renčati in brusiti kremplje,",0
"pusti, ker ima mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci",0
"pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala, odreži ji rep,",0
"svetu: dala je mački mesa, ji v hipu odrezala rep, ga vrgla devet komolcev",0
"zidu, vidi kosorepo mačko počasi in klavrno lesti po vrhu slemena na drugi konec",0
"strehe, in videč mačko po drevesu priti do tal, pleza še ona in srečno",0
"zagledajo kosorepo krvavo mačko. Brž uganejo, kaj je to, in dvanajst jih poišče sled",0
kdaj prišla k očetu domov. Večkrat je mislila skozi odprto lino zlesti na streho,1
"nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla, ali ne",1
"že blizu do očetovega doma. Oče njen je imel kovačnico, pri vodi zidano. Tisto",1
"ter klicala, pa očeta ni bilo in že je mislila pred kovačnico na klopi",1
"jo je bil oče ravno prejšnji dan nasadil, in pristopi k luknji, skozi katero",1
"je drugo jutro oče kovač prišel žalosten domov, je našel hčer in na klopi",1
"so bili še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama",0
"in le včasih pasjeglavce, ki so na noč zahajali domov, podnevi pa zaklenili njo",0
"so vsi s pasjeglavci zmenjeni. Daj mački kos mesa, in kadar ga bo pobirala,",0
"je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj",0
"bi me zasledili pasjeglavci in še huje bi mi bilo. Zato premišlja, kako bi",0
zasliši zunaj govoriti pasjeglavce. Po sledu so bili za njo prišli. Brž podpre vrata,0
prišla. Kmalu izvohajo pasjeglavci to luknjo in eden prikaže pasjo glavo v kovačnico. Deklica,0
"v kovačnici dvanajst pasjeglavcev, ki jih je hči pobila.",0
"neki dan lepa deklica sama na njivi. Kar zagleda, da jih gre veliko krdelo",1
smreki čepi skrita deklica. Bodli so torej s svojimi dolgimi sulicami ob deblih od,1
"tako jim je deklica prišla v pest. Zaprli so jo potlej v visok grad,",1
da je bilo deklico strah. Nekoč posebno močno joka in boga prosi. Kar zagleda,1
"šla rada, pravi deklica. Kako boš šla, ali ne veš, da pasjeglavski grad nima",1
"in izginil, da deklica ni vedela ne kdaj ne kam. Storila je po njegovem",1
teče za ubežno deklico. Medtem je bila ona pritekla že blizu do očetovega doma.,1
"mlada? jo nagovori dedec. K očetu bi šla rada, pravi deklica. Kako boš šla,",1
"nima vrat? reče dedec. Vem, ali jaz bi šla skozi lino, pa me ta",1
"ga je šele volk: »Hej, kam tako hitro, saj vendar ne gori voda!« Kosmatinec",0
"bo,« je menil volk. Sla sta pod klanec gledat junaka zajčka. Medved se je",0
"je videl zajca, volk pa ga ni videl, ker je bil premajhen in se",0
"rekel kosmatinec, prijel volka, se postavil z njim na zadnje noge, ga dvignil visoko",0
"vrnil, pa tudi volkov ni več v naših gozdovih, kajti poslednjega je do smrti",0
"vidiš ali ne?« Volk pa ni odgovoril, ne zdaj, ne potem, ko ga je",0
tudi zajec in medved ter mnogokrat nepovabljena hodila v goste. Nekega večera sta se,0
"ga ponudil začudenemu medvedu pod nos: »Vidiš, buča, ti si slabič. Če se te",0
"treba,« je vzdihnil medved. Zajec je strigel z ušesi in vse slišal. Debeluh je",0
"je res spal, medved pa ne. Mislil je, da se mu nudi ugodna priložnost",0
"Naposled se je medved ojunačil in zbežal, da so pete žvižgale in mu je",0
"ko ga je medved izpustil iz objema: kajti tako krepko ga je stisnil, da",0
"do smrti stisnil medved, ko mu je hotel pokazati zajca. Zato pa pri nas",0
"srečala v ovsu. Medved je zarenčal nad dolgouhcem: »Poberi se odtod, oves je moj!«",0
tistega bodi oves!« Medved je zdrobil kamen v prah. Izpod krempljev so mu švigale,0
"in se spočijva.« Medved je smrčal, zajec tudi. Zajec je res spal, medved pa",0
"gledat junaka zajčka. Medved se je postavil na zadnje noge in je videl zajca,",0
"bilo po njem. Medved je izbuljil oči, ko je videl mrtvega tovariša: »Sam pogled",0
sta opazila tudi zajec in medved ter mnogokrat nepovabljena hodila v goste. Nekega večera,1
"oves je moj!« Zajec je pomigal z ušesi in odvrnil: »Oves je tvoj, prav,",1
"debeluhu zaprlo sapo, zajec pa je nadaljeval: »Buča, meniš, da moraš vse ti požreti,",1
"Medved je smrčal, zajec tudi. Zajec je res spal, medved pa ne. Mislil je,",1
"beg. Pogledal je zajca in opazil, da ima odprte oči. Čakal je še dolgo,",1
"bi me premagal zajec« »Dveh pa gotovo ne bo,« je menil volk. Sla sta",1
"in je videl zajca, volk pa ga ni videl, ker je bil premajhen in",1
sem vendar z zajcem govoril in še celo poleg njega ležal!« Brž je pobegnil,1
"je hotel pokazati zajca. Zato pa pri nas še miga dolgouhec v ovsu, pa",1
"le ni pritekla. Zajec je udaril po kamnu, ga skrivaj omočil in ga ponudil",1
je vzdihnil medved. Zajec je strigel z ušesi in vse slišal. Debeluh je svetoval:,1
"smrčal, zajec tudi. Zajec je res spal, medved pa ne. Mislil je, da se",1
klanec gledat junaka zajčka. Medved se je postavil na zadnje noge in je videl,1
v neizmerno žalost kralja in vsega ljudstva. Ozdraviti pa bi se dala samo na,1
"ga peljejo pred kralja, ker je imeniten zdravnik iz tuje dežele ter hoče ozdraviti",1
"ozdraviti bolno kraljičino. Kralj ga je hitro pustil do sebe. Toda, ker je kraljičina",1
svitati beli dan. Vile so umolknile. Z veselim in lehkim srcem zleze naš popotnik,0
se pogovarjale gorske Vile. Rekle so: »Tista kraljičina je ozdravela; gotovo nas je poslušal kak,0
"Oglasi se neka Vila: »Da, da zares, previdne bodimo! Jaz zapovedujem da naj pridrvi",0
"umrl je ljubljeni oče. Zapustil jima je precejšnjo svoto denarja, da si ga sama",1
"dva jednaka dela. Mlajši brat pravi starejšemu: »Pojdiva v cerkev, tam si ga razdeliva in",1
"trdi svojo, no starejši prav tako svojeglavno svojo. Skregala sta se naposled prav do",0
ostane vsa zapuščnina starejšemu. Šla sta iz mesta proti nekemu mostu; počakala sta na,0
"zagledala, dejal je starejši brat mlajšemu: »Glej glej, kako sva srečna! Onega le gospoda poprašava,",0
"ko zagledata nekakega gospoda, ki jo je kaj naglo mahal naravnost proti njima. Ali",0
"zares kak posveten gospod, bil je sam z 1 o d i, ki vtakne",0
"srečna! Onega le gospoda poprašava, pa bo mir besedij; on bo gotovo vedel take",0
"so se o kraljičini tiste dežele, ki je ležala na smrt bolna v neizmerno",1
"izve, da se kraljičina bori že s smrtnim angeljem. Hipoma se da prepeljati na",1
"hoče ozdraviti bolno kraljičino. Kralj ga je hitro pustil do sebe. Toda, ker je",1
"od voza nekega kmeta, ki je prejšnji večer pripeljal zelje v mesto. Prvi dan",1
"v bližino kakšna lisica, ki bi jo nama pred nosom ugrabila.« In tako kot sta",0
"cesti prištorkljal star pastir, ki je gnal ovce na pašo. Anže mu je zastavil",0
"koles in tudi kobilica vam nekam šepa. Lahko vam pomoreva, saj imava pri sebi",1
"Ko je bila kobilica podkovana, se je lotil še voza. In ko je pomeril",1
"nekega jutra rekel Anže tovarišu, ki je delal pri mojstru nekje zunaj mesta. »Nič",0
"na pot, je Anže vtaknil v žep staro podkev, njegov prijatelj kajpada pa ni",0
"poslovila od domačih: Anže s podkvijo v žepu, njegov prijatelj pa s kolesom, ki",0
"pa je rekel Anže: »Počijva malo, da se nama poleže lakota.« Sedla sta na",0
"ovce na pašo. Anže mu je zastavil pot, privlekel iz žepa podkev in dejal:",0
"poskusi srečo,« reče Anže prijatelju, ki je bil zavalil kolo zraven sebe v travo,",0
"pravi,« je rekel Anže in brž potegnil iz žepa podkev, vtem ko je njegov",0
"varnem, je rekel Anže: »Le kdo je tisti norec, ki bi od jutra do",0
"pete,« je rekel Anže. »Ubogajva starčka, leziva v travo pod tisti hrast in glej,",0
"»Ježešna,« je vzkliknil Anže, »piška nama je ušla prav v trenutku, ko sva imela",0
"sklenila, je bil Anže na straži, njegov prijatelj pa je zijal, zijal tako na široko,",0
"je zdanilo, je Anžeta minil strah, pa se je z odprtimi usti še on zvalil",0
mlatičem za kosilo. Anže in njegov prijatelj pa sta z odprtimi usti kar naprej še,0
"Bil je ubog berač z leseno nogo in njega sta vprašala: »Povejte nama, mož,",0
"iščeta,« je rekel berač. »Najbolje bo, da kar precej ležeta v travo in čakata,",0
"pa bi vzela ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, de druga in",1
spremeni v ježka. Jež pa nima mesta pri hiši. Zato je tudi ježek-Janček odšel,1
"mesiti. -Beži no, ježek! Pravi mati nejevolna. V tistem času pa so se godili",1
"mati reče sinu ježek, že se deček spremeni v ježka. Jež pa nima mesta",1
deček spremeni v ježka. Jež pa nima mesta pri hiši. Zato je tudi ježek-Janček,1
"Zato je tudi ježek-Janček odšel v gozd, tam si je pod votlo hruško izkopal",1
"počiva pod hruško, ježek-Janček pa si prične lepo žvižgati. - Kaj pa ti, ježek?",1
"Kaj pa ti, ježek? ga vpraša grof. Zakaj si tako vesel? - Lahko sem",1
"vesel, mu odgovori ježek-Janček, ker dobro vem, da vi brez moje pomoči ne boste",1
iz velikega gozda. Ježek mu pokaže pot prav do doma. Drugi dan Janček-ježek že,1
doma. Drugi dan Janček-ježek že navsezgodaj pred grofov grad. Prišel je na ogledi. -,1
Dobro jutro! kriči Janček-ježek pred gradom. Po plačilo sem prišel. Dajte mi eno izmed,1
"napravijo, če pride ježek. Zato hitro zapro grajska vrata, odpro okna in opazujejo, kaj",1
sedaj počel revček ježek. Na grajskem dvorišču se je sprehajal velik petelin. Ježek-Janček to,1
"in zleti z ježkom vred na okno, pri katerem so stale grofove hčerke. -",1
se oglasi zdaj ježek na oknu s korajžnim glasom. Sedaj pa se le hitro,1
"voz, vzame ženina Jančka-ježka na krilo in tako se odpeljejo k poroki. Komaj pa",1
pred oltar se ježek-Janček strese in pri priči spremeni v prekrasnega mladeniča. Sestri to,1
sprehajal velik petelin. Ježek-Janček to vidi in mu skoči –smuk- na hrbet. Petelin se,1
" Mati mesi kruh. Mali Janček vedno sili k njej, ker hoče",1
"no, ježek! Pravi mati nejevolna. V tistem času pa so se godili čudeži bolj",1
"tej priliki. Komaj mati reče sinu ježek, že se deček spremeni v ježka. Jež",1
"da gre nekoč grof na lov in zablodi v gozdu. Dolgo išče poti, a",0
"pod ježevo hruško. Grof počiva pod hruško, ježek-Janček pa si prične lepo žvižgati. -",0
"ježek? ga vpraša grof. Zakaj si tako vesel? - Lahko sem vesel, mu odgovori",0
"ježa! se oglasi najstarejša zaničljivo. - Kralja čakam, de druga in se smeje. - Jaz",0
"ga meni, pravi najstarejša najmlajši sestrici nevesti. - Jaz ga vzamem. Saj ti si",0
"Kralja čakam, de druga in se smeje. - Jaz pa te vzamem za moža",0
"še otrok, pristavi druga. Janček pa vesel objame svojo nevestico in pravi: - Ti",0
"mojega očeta, pravi najmlajša. Grof zapreže v najlepši voz iskre konje, hčerka nevesta sede",1
"Malemu Jožku se je sanjalo, da vidi lastavico. »Pojdi sem,« ji je",1
"muho,« je silil Joško. »Jih znam sama bolje loviti, kakor ti,« je odgovarjala lastavica.",1
"se je branil Joško. »Kdo je bil pa včeraj našeškan, kdo?« se je smejala",1
"je smejala lastavica. Joško je napravil majhno šobo, zameril je. Toda še se je",1
"je bilo pa Jošku preveč Namršil je obrvi, jezno pogledal lastavico ter ji zabrusil:",1
"večje ... Toda Joško je kmalu videl samo še odprti kljun, ne kljun, žrelo,",1
"— — — Joško se je prebudil, ves trd od strahu. Ravno še pravi",1
"grem,« je rekla lastavica. »Ti bom vjel muho,« je silil Joško. »Jih znam sama",0
"ti,« je odgovarjala lastavica. »Pojdi!« »Ne grem.« »Zakaj pa ne?« »Zato ker si poreden.«",0
"se je smejala lastavica. Joško je napravil majhno šobo, zameril je. Toda še se",0
"je spet smejala lastavica. Zdaj je bilo pa Jošku preveč Namršil je obrvi, jezno",0
"Ste opazili, da muce zelo veliko spijo? Zdi se, da vsaj še enkrat toliko",1
"volno? Motite se! Muce predejo naše sanje. Takoj ko muca zapre oči in zaspi,",1
"cvet komaj drži. Muca ve, kako izbirati in kaj vplesti v tvoje sanje vsak",1
"pokazala mami in očetu. Tako je hitela, da je pozabila pogledati levo in desno.",1
"božala in objemala,  oče ji je prinesel toplega mleka in jo držal za",1
zadremala še zaskrbljena oče in mama. A Taša tudi v sanjah ni imela miru.,1
"bi ga pokazala mami in očetu. Tako je hitela, da je pozabila pogledati levo",1
njih. Nazadnje je mami potisnila v roko mokro rdečo cunjo - ostanek balona. Ni,1
"je čedalje huje. Mama jo je božala in objemala, oče ji je prinesel toplega",1
