review,sentiment
Kmalu se je privila izpod mize bela kača z lepo krono na glavi ter se zvila najmlajšemu v naročje.,1
"Ko se je kača najedla, je stresla lepo kronico z glave in se spet izgubila v luknjo.",1
"Brž, ko je kača izginila, je mati skočila v vežo in spravila otroke na varno; seveda ni pozabila pobrati tudi krone.",1
"Imeli so kronico tako dolgo, dokler je bil pri hiši tisti rod, ki je z belo kačo prijazno in lepo ravnal.",1
"Bila je kmetica in je imela majhne otroke. Hodila je na polje delat, otroke pa je puščala doma ter jim v skledo dajala mleka, da medtem niso bili lačni.",1
"Hodila je na polje delat, otroke pa je puščala doma ter jim v skledo dajala mleka, da medtem niso bili lačni.",1
"Vselej so vse pojedli, zato jih je mati hvalila, dn so pridni. Otroci pa so rekli: - Saj ne jemo sami, k nam hodi tudi lep ptiček jest.",1
"Vendar se ji je čudno zdelo, da otroci pripovedujejo o lepem belem ptičku.",1
"Dala jo je v skrinjo, kjer so imeli prejo. Ded je pozimi prejo vil.",1
"Vselej so vse pojedli, zato jih je mati hvalila, dn so pridni.",1
"Otroci pa so rekli: - Saj ne jemo sami, k nam hodi tudi lep ptiček jest. Mati si je mislila, da prihaja kakšna mačka in je z otroki.",1
Kmalu se je privila izpod mize bela kača z lepo krono na glavi ter se zvila najmlajšemu v naročje. Mati je bila vsa trda od strahu.,1
"Brž, ko je kača izginila, je mati skočila v vežo in spravila otroke na varno; seveda ni pozabila pobrati tudi krone.",1
"Poglavar je namreč rekel: Kdor si upa bodisi z močjo bodisi z zvijačo premagati zmaja, bo dobil ta stolp in še bogato plačilo zraven.",0
"Vsa zemlja in ves kraj, kjer gospoduje zmaj, bo zmagovalčeva last, če je suženj pa bo osvobojen.",0
"Vse zaman, tudi najpogumnejšega človeka je stresel mraz, če je v bližini zaslišal zmajev glas.",0
"Zbralo se jih je več skupaj, ker v slogi je moč, in šli so nad zmaja. Vzamejo silnega bika in močan, nazaj zakrivljen kavelj in oboje z železno verigo privežejo k stolpu.",0
"Zdaj zgrabi ujeti zmaj ubogo žival z ostrimi kremplji, toda dobil je, kar je zaslužil.",0
"Veselo prepevaje je gnal pastir svojo čredo na pašo, toda mnogokrat se je moral žalostnega srca vrniti k svoji koči.",1
"Veselo petje in vriskanje zadovoljnih in brezskrbnih pastirjev se je razlegalo po prijaznih gričih in zelenih gozdičih, toda strašno tuljenje, neprijazen glas, ki je vsakogar pretresel, se je slišal iz vedno meglene pustinje in odmeval v bližnjih gozdovih.",1
"To je bilo težko vprašanje. Poglavar je najpogumnejšemu izmed svojih hlapcev zapovedal preiskati tisti kraj in umoriti strašno pošast, naj velja, kar hoče.",1
"Zbralo se je nekaj pogumnih korenjakov, ki so šli na nevaren lov. Poglavar je namreč rekel: Kdor si upa bodisi z močjo bodisi z zvijačo premagati zmaja, bo dobil ta stolp in še bogato plačilo zraven.",1
"Tam notri ni videla žive duše in le včasih pasjeglavce, ki so na noč zahajali domov, podnevi pa zaklenili njo in eno mačko; samo lino so ji odprto pustili, da je sonce sijalo skoznjo.",0
"Pa vselej, ko nogo vzdigne, skoči mačka na lino in začne tako jezno renčati in brusiti kremplje, da je bilo deklico strah.",0
"Zato ne pusti, ker ima mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci zmenjeni.",0
"Daj mački kos mesa, in kadar ga bo pobirala, odreži ji rep, vrzi ga čez glavo devet komolcev daleč skozi lino in nič več ti ne bo branila.",0
"Storila je po njegovem svetu: dala je mački mesa, ji v hipu odrezala rep, ga vrgla devet komolcev daleč čez glavo in huda žival se je tiho potuhnila v kot.",0
"Deklica spleza precej v mraku skozi lino na streho, in ko ni vedela ne kam ne kod doli po zidu, vidi kosorepo mačko počasi in klavrno lesti po vrhu slemena na drugi konec poslopja.",0
"Leze za njo in pride do drevesa, ki se je z vršičkom dotikalo strehe, in videč mačko po drevesu priti do tal, pleza še ona in srečno uteče.",0
"Noč se je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko. Brž uganejo, kaj je to, in dvanajst jih poišče sled in teče za ubežno deklico.",0
"Tam notri je venomer jokala in boga prosila, da bi še kdaj prišla k očetu domov.",1
"K očetu bi šla rada, pravi deklica.",1
Medtem je bila ona pritekla že blizu do očetovega doma.,1
"Dolgo je klicala ter klicala, pa očeta ni bilo in že je mislila pred kovačnico na klopi zaspati.",1
"Brž podpre vrata še bolj z železom, zasloni okno, v roke pa vzame široko sekiro, ki jo je bil oče ravno prejšnji dan nasadil, in pristopi k luknji, skozi katero je bila sama noter prišla.",1
"Ko je drugo jutro oče kovač prišel žalosten domov, je našel hčer in na klopi v kovačnici dvanajst pasjeglavcev, ki jih je hči pobila.",1
"Tačas, ko so bili še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama na njivi.",0
"Tam notri ni videla žive duše in le včasih pasjeglavce, ki so na noč zahajali domov, podnevi pa zaklenili njo in eno mačko; samo lino so ji odprto pustili, da je sonce sijalo skoznjo.",0
"Zato ne pusti, ker ima mačka v repu devet peklenskih vragov, ki so vsi s pasjeglavci zmenjeni.",0
Noč se je bila storila; pasjeglavci pridejo domov in zagledajo kosorepo krvavo mačko.,0
Kar ji na misel pride: Morda bi me zasledili pasjeglavci in še huje bi mi bilo.,0
"Komaj si notri oddahne in luč naredi, kar zasliši zunaj govoriti pasjeglavce. Po sledu so bili za njo prišli.",0
Kmalu izvohajo pasjeglavci to luknjo in eden prikaže pasjo glavo v kovačnico.,0
"Ko je drugo jutro oče kovač prišel žalosten domov, je našel hčer in na klopi v kovačnici dvanajst pasjeglavcev, ki jih je hči pobila.",0
"Tačas, ko so bili še pasjeglavci po teh krajih, je plela neki dan lepa deklica sama na njivi.",1
"Tako niso mogli videti, na kateri smreki čepi skrita deklica. Bodli so torej s svojimi dolgimi sulicami ob deblih od smreke do smreke tako dolgo, da je po skorji nekega drevesa pritekla rdeča kri.",1
Obstopili so tisto smreko in jo izruvali; tako jim je deklica prišla v pest.,1
"Pa vselej, ko nogo vzdigne, skoči mačka na lino in začne tako jezno renčati in brusiti kremplje, da je bilo deklico strah.",1
"K očetu bi šla rada, pravi deklica. Kako boš šla, ali ne veš, da pasjeglavski grad nima vrat?",1
"Tako je mož dejal in izginil, da deklica ni vedela ne kdaj ne kam.",1
"Brž uganejo, kaj je to, in dvanajst jih poišče sled in teče za ubežno deklico. Medtem je bila ona pritekla že blizu do očetovega doma.",1
"jo nagovori dedec. K očetu bi šla rada, pravi deklica.",1
"reče dedec. Vem, ali jaz bi šla skozi lino, pa me ta mačja žival ne pusti, pravi ona.",1
"Ustavil ga je šele volk: »Hej, kam tako hitro, saj vendar ne gori voda!« Kosmatinec je v zadregi priznal: »Oh, oh, skoraj bi bilo po meni, skoraj bi me premagal zajec« »Dveh pa gotovo ne bo,« je menil volk.",0
"Ustavil ga je šele volk: »Hej, kam tako hitro, saj vendar ne gori voda!« Kosmatinec je v zadregi priznal: »Oh, oh, skoraj bi bilo po meni, skoraj bi me premagal zajec« »Dveh pa gotovo ne bo,« je menil volk. Sla sta pod klanec gledat junaka zajčka.",0
"Medved se je postavil na zadnje noge in je videl zajca, volk pa ga ni videl, ker je bil premajhen in se na zadnje noge ni znal postaviti.",0
"»Vidim, da ti moram pomagati,« je rekel kosmatinec, prijel volka, se postavil z njim na zadnje noge, ga dvignil visoko v zrak in vprašal: »No, ali ga vidiš tam za plotom?",0
"Moram biti pač velik junak, da še ni po meni, ko sem vendar z zajcem govoril in še celo poleg njega ležal!« Brž je pobegnil iz naših krajev in se še do danes ni vrnil, pa tudi volkov ni več v naših gozdovih, kajti poslednjega je do smrti stisnil medved, ko mu je hotel pokazati zajca.",0
"Mrcina, odgovori, ga vidiš ali ne?« Volk pa ni odgovoril, ne zdaj, ne potem, ko ga je medved izpustil iz objema: kajti tako krepko ga je stisnil, da je bilo po njem.",0
To sta opazila tudi zajec in medved ter mnogokrat nepovabljena hodila v goste.,0
"Zajec je udaril po kamnu, ga skrivaj omočil in ga ponudil začudenemu medvedu pod nos: »Vidiš, buča, ti si slabič.",0
"Zbežati bo treba,« je vzdihnil medved. Zajec je strigel z ušesi in vse slišal.",0
"Zajec je res spal, medved pa ne.",0
"Naposled se je medved ojunačil in zbežal, da so pete žvižgale in mu je dlaka stala pokonci kakor petelinu perje.",0
"Mrcina, odgovori, ga vidiš ali ne?« Volk pa ni odgovoril, ne zdaj, ne potem, ko ga je medved izpustil iz objema: kajti tako krepko ga je stisnil, da je bilo po njem.",0
"Moram biti pač velik junak, da še ni po meni, ko sem vendar z zajcem govoril in še celo poleg njega ležal!« Brž je pobegnil iz naših krajev in se še do danes ni vrnil, pa tudi volkov ni več v naših gozdovih, kajti poslednjega je do smrti stisnil medved, ko mu je hotel pokazati zajca.",0
"Nekega večera sta se srečala v ovsu. Medved je zarenčal nad dolgouhcem: »Poberi se odtod, oves je moj!« Zajec je pomigal z ušesi in odvrnil: »Oves je tvoj, prav, pozobljem ga pa jaz; taka hrana mi tekne!« Tako oblastno besedičenje je debeluhu zaprlo sapo, zajec pa je nadaljeval: »Buča, meniš, da moraš vse ti požreti, ker si večji od mene.",0
"Stisniva najprej kamen; kdor ga bo tako stisnil, da bo pritekla voda iz njega, tistega bodi oves!« Medved je zdrobil kamen v prah.",0
"Debeluh je svetoval: »Utrujena sva, pojdiva na onile hribček k plotu in se spočijva.« Medved je smrčal, zajec tudi.",0
"Sla sta pod klanec gledat junaka zajčka. Medved se je postavil na zadnje noge in je videl zajca, volk pa ga ni videl, ker je bil premajhen in se na zadnje noge ni znal postaviti.",0
"Mrcina, odgovori, ga vidiš ali ne?« Volk pa ni odgovoril, ne zdaj, ne potem, ko ga je medved izpustil iz objema: kajti tako krepko ga je stisnil, da je bilo po njem. Medved je izbuljil oči, ko je videl mrtvega tovariša: »Sam pogled ga je umoril.",0
To sta opazila tudi zajec in medved ter mnogokrat nepovabljena hodila v goste.,1
"Medved je zarenčal nad dolgouhcem: »Poberi se odtod, oves je moj!« Zajec je pomigal z ušesi in odvrnil: »Oves je tvoj, prav, pozobljem ga pa jaz; taka hrana mi tekne!« Tako oblastno besedičenje je debeluhu zaprlo sapo, zajec pa je nadaljeval: »Buča, meniš, da moraš vse ti požreti, ker si večji od mene.",1
"Medved je zarenčal nad dolgouhcem: »Poberi se odtod, oves je moj!« Zajec je pomigal z ušesi in odvrnil: »Oves je tvoj, prav, pozobljem ga pa jaz; taka hrana mi tekne!« Tako oblastno besedičenje je debeluhu zaprlo sapo, zajec pa je nadaljeval: »Buča, meniš, da moraš vse ti požreti, ker si večji od mene.",1
"Debeluh je svetoval: »Utrujena sva, pojdiva na onile hribček k plotu in se spočijva.« Medved je smrčal, zajec tudi.",1
"Pogledal je zajca in opazil, da ima odprte oči.",1
"Ustavil ga je šele volk: »Hej, kam tako hitro, saj vendar ne gori voda!« Kosmatinec je v zadregi priznal: »Oh, oh, skoraj bi bilo po meni, skoraj bi me premagal zajec« »Dveh pa gotovo ne bo,« je menil volk.",1
"Medved se je postavil na zadnje noge in je videl zajca, volk pa ga ni videl, ker je bil premajhen in se na zadnje noge ni znal postaviti.",1
"Moram biti pač velik junak, da še ni po meni, ko sem vendar z zajcem govoril in še celo poleg njega ležal!« Brž je pobegnil iz naših krajev in se še do danes ni vrnil, pa tudi volkov ni več v naših gozdovih, kajti poslednjega je do smrti stisnil medved, ko mu je hotel pokazati zajca.",1
"Moram biti pač velik junak, da še ni po meni, ko sem vendar z zajcem govoril in še celo poleg njega ležal!« Brž je pobegnil iz naših krajev in se še do danes ni vrnil, pa tudi volkov ni več v naših gozdovih, kajti poslednjega je do smrti stisnil medved, ko mu je hotel pokazati zajca. Zato pa pri nas še miga dolgouhec v ovsu, pa tudi ob plotu ga najdeš.",1
"Izpod krempljev so mu švigale iskre, a voda le ni pritekla. Zajec je udaril po kamnu, ga skrivaj omočil in ga ponudil začudenemu medvedu pod nos: »Vidiš, buča, ti si slabič.",1
"Zbežati bo treba,« je vzdihnil medved. Zajec je strigel z ušesi in vse slišal.",1
