review,sentiment
"se je privila izpod mize bela z lepo krono na glavi ter $ gladili lepega ptička. Ko se je najedla, je stresla lepo kronico z $ izgubila v luknjo. Brž, ko je izginila, je mati skočila v vežo $ tisti rod, ki je z belo prijazno in lepo ravnal.",1
"je kmetica in je imela majhne Hodila je na polje delat, otroke $ otroke. Hodila je na polje delat, pa je puščala doma ter jim $ je mati hvalila, dn so pridni. pa so rekli: - Saj ne $ se ji je čudno zdelo, da pripovedujejo o lepem belem ptičku. Hotela",1
"v skrinjo, kjer so imeli prejo. je pozimi prejo vil. Vso zimo",1
"so vse pojedli, zato jih je hvalila, dn so pridni. Otroci pa $ nam hodi tudi lep ptiček jest. si je mislila, da prihaja kakšna $ ter se zvila najmlajšemu v naročje. je bila vsa trda od strahu. $ Brž, ko je kača izginila, je skočila v vežo in spravila otroke",1
"z močjo bodisi z zvijačo premagati bo dobil ta stolp in še $ zemlja in ves kraj, kjer gospoduje bo zmagovalčeva last, če je suženj $ mraz, če je v bližini zaslišal glas. Vendar so morali poskusiti še $ je moč, in šli so nad Vzamejo silnega bika in močan, nazaj $ v mehko meso. Zdaj zgrabi ujeti ubogo žival z ostrimi kremplji, toda",0
"in gričih. Veselo prepevaje je gnal svojo čredo na pašo, toda mnogokrat $ petje in vriskanje zadovoljnih in brezskrbnih se je razlegalo po prijaznih gričih",1
roparja? To je bilo težko vprašanje. je najpogumnejšemu izmed svojih hlapcev zapovedal $ ki so šli na nevaren lov. je namreč rekel: Kdor si upa,1
"podnevi pa zaklenili njo in eno samo lino so ji odprto pustili, $ Pa vselej, ko nogo vzdigne, skoči na lino in začne tako jezno $ ona. Zato ne pusti, ker ima v repu devet peklenskih vragov, ki $ so vsi s pasjeglavci zmenjeni. Daj kos mesa, in kadar ga bo $ je po njegovem svetu: dala je mesa, ji v hipu odrezala rep, $ kod doli po zidu, vidi kosorepo počasi in klavrno lesti po vrhu $ z vršičkom dotikalo strehe, in videč po drevesu priti do tal, pleza $ pridejo domov in zagledajo kosorepo krvavo Brž uganejo, kaj je to, in",0
"da bi še kdaj prišla k domov. Večkrat je mislila skozi odprto $ je mlada? jo nagovori dedec. K bi šla rada, pravi deklica. Kako $ bila ona pritekla že blizu do doma. Oče njen je imel kovačnico, $ Dolgo je klicala ter klicala, pa ni bilo in že je mislila $ široko sekiro, ki jo je bil ravno prejšnji dan nasadil, in pristopi $ kakor prvemu. Ko je drugo jutro kovač prišel žalosten domov, je našel",1
"še bili so ko Tačas, po teh krajih, je plela neki $ videla žive duše in le včasih ki so na noč zahajali domov, $ peklenskih vragov, ki so vsi s zmenjeni. Daj mački kos mesa, in $ uteče. Noč se je bila storila; pridejo domov in zagledajo kosorepo krvavo $ misel pride: Morda bi me zasledili in še huje bi mi bilo. $ luč naredi, kar zasliši zunaj govoriti Po sledu so bili za njo $ bila sama noter prišla. Kmalu izvohajo to luknjo in eden prikaže pasjo $ in na klopi v kovačnici dvanajst ki jih je hči pobila.",0
"krajih, je plela neki dan lepa sama na njivi. Kar zagleda, da $ videti, na kateri smreki čepi skrita Bodli so torej s svojimi dolgimi $ in jo izruvali; tako jim je prišla v pest. Zaprli so jo $ in brusiti kremplje, da je bilo strah. Nekoč posebno močno joka in $ K očetu bi šla rada, pravi Kako boš šla, ali ne veš, $ je mož dejal in izginil, da ni vedela ne kdaj ne kam. $ poišče sled in teče za ubežno Medtem je bila ona pritekla že",1
"Kaj ti je mlada? jo nagovori K očetu bi šla rada, pravi $ da pasjeglavski grad nima vrat? reče Vem, ali jaz bi šla skozi",1
"petelinu perje. Ustavil ga je šele »Hej, kam tako hitro, saj vendar $ pa gotovo ne bo,« je menil Sla sta pod klanec gledat junaka $ zadnje noge in je videl zajca, pa ga ni videl, ker je $ moram pomagati,« je rekel kosmatinec, prijel se postavil z njim na zadnje $ do danes ni vrnil, pa tudi ni več v naših gozdovih, kajti $ Mrcina, odgovori, ga vidiš ali ne?« pa ni odgovoril, ne zdaj, ne",0
"To sta opazila tudi zajec in ter mnogokrat nepovabljena hodila v goste. $ skrivaj omočil in ga ponudil začudenemu pod nos: »Vidiš, buča, ti si $ mojster. Zbežati bo treba,« je vzdihnil Zajec je strigel z ušesi in $ zajec tudi. Zajec je res spal, pa ne. Mislil je, da se $ vse bolj buljile. Naposled se je ojunačil in zbežal, da so pete $ zdaj, ne potem, ko ga je izpustil iz objema: kajti tako krepko $ kajti poslednjega je do smrti stisnil ko mu je hotel pokazati zajca. $ večera sta se srečala v ovsu. je zarenčal nad dolgouhcem: »Poberi se $ voda iz njega, tistega bodi oves!« je zdrobil kamen v prah. Izpod $ hribček k plotu in se spočijva.« je smrčal, zajec tudi. Zajec je $ sta pod klanec gledat junaka zajčka. se je postavil na zadnje noge $ stisnil, da je bilo po njem. je izbuljil oči, ko je videl",0
