review,sentiment
se je privila izpod mize bela z lepo krono na glavi ter,1
"gladili lepega ptička. Ko se je najedla, je stresla lepo kronico z",1
"izgubila v luknjo. Brž, ko je izginila, je mati skočila v vežo",1
"tisti rod, ki je z belo prijazno in lepo ravnal.",1
"je kmetica in je imela majhne Hodila je na polje delat, otroke",1
"otroke. Hodila je na polje delat, pa je puščala doma ter jim",1
"je mati hvalila, dn so pridni. pa so rekli: - Saj ne",1
"se ji je čudno zdelo, da pripovedujejo o lepem belem ptičku. Hotela",1
"v skrinjo, kjer so imeli prejo. je pozimi prejo vil. Vso zimo",1
"so vse pojedli, zato jih je hvalila, dn so pridni. Otroci pa",1
"nam hodi tudi lep ptiček jest. si je mislila, da prihaja kakšna",1
ter se zvila najmlajšemu v naročje. je bila vsa trda od strahu.,1
"Brž, ko je kača izginila, je skočila v vežo in spravila otroke",1
z močjo bodisi z zvijačo premagati bo dobil ta stolp in še,0
"zemlja in ves kraj, kjer gospoduje bo zmagovalčeva last, če je suženj",0
"mraz, če je v bližini zaslišal glas. Vendar so morali poskusiti še",0
"je moč, in šli so nad Vzamejo silnega bika in močan, nazaj",0
"v mehko meso. Zdaj zgrabi ujeti ubogo žival z ostrimi kremplji, toda",0
"in gričih. Veselo prepevaje je gnal svojo čredo na pašo, toda mnogokrat",1
petje in vriskanje zadovoljnih in brezskrbnih se je razlegalo po prijaznih gričih,1
roparja? To je bilo težko vprašanje. je najpogumnejšemu izmed svojih hlapcev zapovedal,1
ki so šli na nevaren lov. je namreč rekel: Kdor si upa,1
"podnevi pa zaklenili njo in eno samo lino so ji odprto pustili,",0
"Pa vselej, ko nogo vzdigne, skoči na lino in začne tako jezno",0
"ona. Zato ne pusti, ker ima v repu devet peklenskih vragov, ki",0
"so vsi s pasjeglavci zmenjeni. Daj kos mesa, in kadar ga bo",0
"je po njegovem svetu: dala je mesa, ji v hipu odrezala rep,",0
"kod doli po zidu, vidi kosorepo počasi in klavrno lesti po vrhu",0
"z vršičkom dotikalo strehe, in videč po drevesu priti do tal, pleza",0
"pridejo domov in zagledajo kosorepo krvavo Brž uganejo, kaj je to, in",0
da bi še kdaj prišla k domov. Večkrat je mislila skozi odprto,1
"je mlada? jo nagovori dedec. K bi šla rada, pravi deklica. Kako",1
"bila ona pritekla že blizu do doma. Oče njen je imel kovačnico,",1
"Dolgo je klicala ter klicala, pa ni bilo in že je mislila",1
"široko sekiro, ki jo je bil ravno prejšnji dan nasadil, in pristopi",1
"kakor prvemu. Ko je drugo jutro kovač prišel žalosten domov, je našel",1
"še bili so ko Tačas, po teh krajih, je plela neki",0
"videla žive duše in le včasih ki so na noč zahajali domov,",0
"peklenskih vragov, ki so vsi s zmenjeni. Daj mački kos mesa, in",0
uteče. Noč se je bila storila; pridejo domov in zagledajo kosorepo krvavo,0
misel pride: Morda bi me zasledili in še huje bi mi bilo.,0
"luč naredi, kar zasliši zunaj govoriti Po sledu so bili za njo",0
bila sama noter prišla. Kmalu izvohajo to luknjo in eden prikaže pasjo,0
in na klopi v kovačnici dvanajst ki jih je hči pobila.,0
"krajih, je plela neki dan lepa sama na njivi. Kar zagleda, da",1
"videti, na kateri smreki čepi skrita Bodli so torej s svojimi dolgimi",1
in jo izruvali; tako jim je prišla v pest. Zaprli so jo,1
"in brusiti kremplje, da je bilo strah. Nekoč posebno močno joka in",1
"K očetu bi šla rada, pravi Kako boš šla, ali ne veš,",1
"je mož dejal in izginil, da ni vedela ne kdaj ne kam.",1
poišče sled in teče za ubežno Medtem je bila ona pritekla že,1
"Kaj ti je mlada? jo nagovori K očetu bi šla rada, pravi",1
"da pasjeglavski grad nima vrat? reče Vem, ali jaz bi šla skozi",1
"petelinu perje. Ustavil ga je šele »Hej, kam tako hitro, saj vendar",0
"pa gotovo ne bo,« je menil Sla sta pod klanec gledat junaka",0
"zadnje noge in je videl zajca, pa ga ni videl, ker je",0
"moram pomagati,« je rekel kosmatinec, prijel se postavil z njim na zadnje",0
"do danes ni vrnil, pa tudi ni več v naših gozdovih, kajti",0
"Mrcina, odgovori, ga vidiš ali ne?« pa ni odgovoril, ne zdaj, ne",0
To sta opazila tudi zajec in ter mnogokrat nepovabljena hodila v goste.,0
"skrivaj omočil in ga ponudil začudenemu pod nos: »Vidiš, buča, ti si",0
"mojster. Zbežati bo treba,« je vzdihnil Zajec je strigel z ušesi in",0
"zajec tudi. Zajec je res spal, pa ne. Mislil je, da se",0
"vse bolj buljile. Naposled se je ojunačil in zbežal, da so pete",0
"zdaj, ne potem, ko ga je izpustil iz objema: kajti tako krepko",0
kajti poslednjega je do smrti stisnil ko mu je hotel pokazati zajca.,0
večera sta se srečala v ovsu. je zarenčal nad dolgouhcem: »Poberi se,0
"voda iz njega, tistega bodi oves!« je zdrobil kamen v prah. Izpod",0
"hribček k plotu in se spočijva.« je smrčal, zajec tudi. Zajec je",0
sta pod klanec gledat junaka zajčka. se je postavil na zadnje noge,0
"stisnil, da je bilo po njem. je izbuljil oči, ko je videl",0
lepo zorel. To sta opazila tudi in medved ter mnogokrat nepovabljena hodila,1
"»Poberi se odtod, oves je moj!« je pomigal z ušesi in odvrnil:",1
"oblastno besedičenje je debeluhu zaprlo sapo, pa je nadaljeval: »Buča, meniš, da",1
"in se spočijva.« Medved je smrčal, tudi. Zajec je res spal, medved",1
"ugodna priložnost za beg. Pogledal je in opazil, da ima odprte oči.",1
"po meni, skoraj bi me premagal »Dveh pa gotovo ne bo,« je",1
"na zadnje noge in je videl volk pa ga ni videl, ker",1
"po meni, ko sem vendar z govoril in še celo poleg njega",1
"medved, ko mu je hotel pokazati Zato pa pri nas še miga",1
"iskre, a voda le ni pritekla. je udaril po kamnu, ga skrivaj",1
"Zbežati bo treba,« je vzdihnil medved. je strigel z ušesi in vse",1
"spočijva.« Medved je smrčal, zajec tudi. je res spal, medved pa ne.",1
Sla sta pod klanec gledat junaka Medved se je postavil na zadnje,1
na smrt bolna v neizmerno žalost in vsega ljudstva. Ozdraviti pa bi,1
"Tam poprosi, da ga peljejo pred ker je imeniten zdravnik iz tuje",1
dežele ter hoče ozdraviti bolno kraljičino. ga je hitro pustil do sebe.,1
vshodu je začel svitati beli dan. so umolknile. Z veselim in lehkim,0
"noči, kako so se pogovarjale gorske so: »Tista kraljičina je ozdravela; gotovo",0
"kak črv pozemeljski!« Oglasi se neka »Da, da zares, previdne bodimo! Jaz",0
"ljubljeni je umrl bratoma Dvema Zapustil jima je precejšnjo svoto denarja,",1
"sama razdelita na dva jednaka dela. pravi starejšemu: »Pojdiva v cerkev, tam",1
"Mlajši brat pa trdi svojo, no prav tako svojeglavno svojo. Skregala sta",0
"a j cerkve, ostane vsa zapuščnina Šla sta iz mesta proti nekemu",0
"Ko sta ga zagledala, dejal je mlajšemu: »Glej glej, kako sva srečna!",0
"Nista čakala dolgo, ko zagledata nekakega ki jo je kaj naglo mahal",0
to ni bil zares kak posveten bil je sam z 1 o,0
"glej, kako sva srečna! Onega le poprašava, pa bo mir besedij; on",0
"gozdne Vile. Pogovarjale so se o tiste dežele, ki je ležala na",1
"meščana. Naš popotnik izve, da se bori že s smrtnim angeljem. Hipoma",1
